product_id,review_content_en_clean,sentiment
B08CF3D7QR,the cable is efficient in fast charging but in quick data transfer i like the usb c l shape nylon shielded core wire it improves the life of the cable i think i buy these every 6 months or so fast charging stops working after a while probbly something to do with the cable design the cable gets twisted over time and i suspect that breaks the high capacity wires inside but i keep buying it because there arent too many options in an l shaped design good and durable product sometime the charges doesn t work on few adapters there might be few cut off or something but works fine on apple adapter car charger the product is really good at affordable price good and fast charging and value for money not a fast charger very slow charging with 65w l shape pin is very useful,positive
B0789LZTCJ,good product charges good i bought this cable for rs 339 worthy product for this price i tested it in various charger adapters 33w and 18w it supports fast charging as well i had got this at good price on sale on amazon and product is useful with warranty but for warranty you need to go very far not practical for such a cost and mine micro to type c connector stopped working after few days only i like this product,positive
B07KSMBL2H,i am using it for 14 days now the experience is pretty good as of now picture quality is also not bad don t expect something out of the world at this price point but you can go for it if you have a tight budget initial impressions works as said glad i didn t go for cheaper options not that it s too costly just plug and play will update if it screws up the hdmi cable is good to watch movie sports and its gives better quality while connecting your laptop with tv and play i loved it works as expected length of the cable is short and it was mentioned also satisfied my requirement if you need more length better look other options it s the best hdmi cable at this price range just go for it i was expecting this to be delivered on time and it was delivered on time product is good as i have tried other cables and wires from amazon basica brand good one,positive
B085DTN6R2,definitely isn t as good as the original cord but works fast charging and pretty sturdy worth it so i had a faulty cable i was lazy and have a lot of money so instead of calling apple i bought this for like 300 bucks didn t expected much but for my surprise this cable actually works and has fast charging just go for it the connectors look premium and were easy to insert i used this cable to switch all my data from iphone 7 to an m30s cable worked like charm while using smart switch app all my data including whatsapp data was transferred successfully satisfied with performance quality is very goodworking smoothly using same portronics pd charger this is a real fast charging cable that is serving the purpose,positive
B09KLVMZ3B,loosing charging cable of apple is costly affair this wire was great purchase made to correct it worked well for six months that s it now it s stopped working now planning to buy one more because the price has come down to 150 very good product compatible with ipad 2nd generation and charging very well quality of the product is very good and also works fine totally worth for its price product is super i m using from last 6 month till now it was good functioning now i noticed phone gets disconnected at multiple occasions might be cable may be damaged overall worked well for 6 month takes 5 6 hours to charge full good item it is the best product i have used till now,positive
B083342NKJ,best charging power i used this cable on note 8 pro mi using 8month also fast working 350 might be a little expensive but physically it s so good but power limitation is there it is not suitable for fast charging very good quality and good durability overall good but need some improvement,positive
B0B6F7LX4C,pros xiomi 5a is best in budget nice picture quality very nice audio output full of featurecons sometimes tv lags sometimes stucksin this prize range all tv having cons like this the product in this price range is good but as it is running in android 12 it lags i hope after few updates the lags problem will be resolved useless product and useless quality display issues within 7 months and service center is not upto the mark go for better brands where quality is assured i would wish if there was option of negative stars uses as connectes tv the picture is very good i was hopping a best level of song globaly it is a good product then ever good quality,positive
B082LSVT4B,i ordered this cable to connect my phone to android auto of car the cable is really strong and the connection ports are really well made i already has a micro usb cable from ambrane and it s still in good shape i connected my phone to the car using the cable and it got connected well and no issues i also connected it to the charging port and yes it has fast charging support it quality is good at this price and the main thing is that i didn t ever thought that this cable will be so long it s good one and charging power is too good and also supports fast charging with extra length product quality is good bought for my daughter s old phone brand new cable it was not charging i already repacked and requested for replacement i checked again and there was some green colour paste fungus inside the micro usb connector i cleaned with an alcoholic and starts working again checked the ampere of charging speed got around 1400ma 1500ma not bad came with braided 1 pretty impressive for the price can t blame the manufacturer but quality issues by the distributor they might have stored in very humid place,positive
B08WRBG3XW,check for offera before buying 18w charging cable awesome cable charging data transfer and durability is simply awesome and there is not a single disconnection issue which i always faced in original mi cable from box bought 1 more time as last cable damaged when phone fell on usb cable port as my phone is heavy and i never faced any issues so i bought one more time and didn t went for replacement as its waste of time and energy i also have boat earphones that is also awesome charging is very slow forget about fast charging not useful at all cable is not fit properly on my samsung galaxy m31 type c port if little hit happens then cable is plug it out otherwise length and cable quality is very nice boat type c cable doesn t support fast charging on oppo f15 earlier i was using vooc cable which worked excellent,positive
B08DPLCM6T,good service but sound quality was poor the speakers were fitted below the tv no clear sound that was the only problem good videogood vice picture quality is awesome good at that price okay product the os has lags after about a year of use this is the best you can get for the price tag it comes with best one when it comes to bugdet easy installation and handy features,positive
B09C6HXFC1,i trust this product works well with car play very good quality and charging is fine as good as original build quality is awesome better than a official lightening from if ur looking for a cable close your eyes and go for it or you can buy a amazon basics one i was using that for past 3 years that a bit a cheaper side i recommend both these cables had better build quality and value for money gr8 product overall just loved it very good charging speed good quality it well packed all sealed coveredthe wire looks of a very good qualityrecommended,positive
B085194JFL,this connector has provided as a boon for my old samsung lcd monitor and i am proactively using that monitor as the 2nd screen just if the finishing of the product can be improved then it would be a better purchase option save it purpose well without any issue working fine go for it it s works properly good product but poor quality i buy this product after so many reviews this product is not so much clear you can buy to get display only not so much clear but still price is very good compare to other products it worked really well for 3 4 months but now it started showing its cheap chinese side display keeps disconnecting randomly and will come back it s a headache to read work on external monitor now since it keeps disconnecting the external monitor and then reconnects it,neutral
B09F6S8BT6,tv picture ok smart bettersound very low another brand service provider refuse install my tv bad service and samsung i am calling 3 times service provider they product did not come with the support stand or wall hanging hook to install the tv picture quality is very poor in cables floor stand does not come with it you have to buy it seperately request amazon to cleary mention it in the add you will have to pay seperate charges for the installation guy to buy the floor mount,positive
B09NHVCHS9,worked on iphone 7 and didn t work on iphone xr i use it for my work product is quite good and is fast charging loved it the sturdiness will depend on the manner of its use but its speed of charging is great very good product for the average income group it s great for charging devices with various types of ports but works best when charging one device at a time good item,positive
B0B1YVCJ2Y,about the tv wonderful probably the best tv in this price range inr13000 good google interface loaded with features lightweight 55 watt power consumption stable designaverage sound and picture quality is quite good but if you compare it with premium brands then obviously not that good features most of the streaming apps available and compatible you can connect with wifi set top box gaming console old dish cable and direct tv antenna as well built in chromecast to cast any compatible app directly from phone to tv over same wifi networkways to connect phone 1 via cast feature on mobile apps no password needed only need to be on the same wifi network2 via chromecast app project only selected media pics videos or entire phone screenways to connect pc laptop 1 windows cast option project the entire laptop screen on tv using windows cast option need to be connected on same wifi network2 via hdmi cableabout the amazon installation service awful 1 the technician brought a cheap hanging hook that had mrp inr116 on it and asked for inr499 for it without any receipt he kept telling that it was not for sale and company had sent this specially it clearly had mrp mentioned on it2 i went to market and bought a much better cabinet for just inr200 and for installation of that as well technician was really adamant to drill the two required holes on top he just drilled one on top and one on bottom and kept all the other spare screws which i had bought with him after about half an hour of arguments he finally drilled the other required holes and for all this he kept cussing me that i wasted his time there was no assistance from the person who represented the service agency as well this whole process took me two hours to complete that too with lots of arguments this was the worst installation experience in my life so far bottomline please do not avail the so called free installation service from amazon it is just a scam instead call the acer support they will do the job much better after using it for 2 months here are it s pros and cons pros 1 it s awesome blacks are very good and is adjustable sound with 30db is very good4 looks great with thin besel5 remote comes with favorite ott buttons content upscaling is very good remote could have been better can t use dth remote to turn on both televisison and set top box remote operation is bit complex motion technology not great there is a noticeable blur when watching moving ballson ott but it decreases when you switch to dth it s a nice buy at this price point i think i am getting fairly better picture quality and sound i am satisfied with the product product has good picture quality good product at that price with 25w sound applications running smoothly 3 months older no issues yet it s running smoothly you get decent features for the price you pay screen resolution might be set back as you may find pixalation overall it s good i am amazed with the picture quality of this 720p hd ready tv it is truly an amazing panel i found it suitable for a viewing distance of between 6 to 10 feet any nearer it may not look very crisp and any farther it will feel like a very small size the speakers are also very good for the price and can get very loud without any distortions since the speaker is downward firing the experience will vary based on whether the tv is wall mounted or kept on a stand the remote is good voice search works well for me tv start up takes a long time in my opinion but i have not compared it against any other 32 inch tv and hence do not know where it stands among peers 5 ghz wifi works very well even across walls only negative aspect i faced is w t the experience of using my bluetooth headphones earphones firstly the connection sometimes doesn t happen automatically after a restart which means i have to remove and re discover the device thru the menu which is not simple secondly the signal itself seems to be very weak and even at a distance of 8 feet in front of the tv the signal breaks even if you move your head by 2 3 inches i am still super happy with this tv i got it for 8k during the launch offer and it is totally worth it and is recommended from my side at this price range 11499 it is good quality product on this market acer only should work with sound quality improvement otherwise all ok picture quality really impressive wifi connectivity good easy to install boderless screen design is premium and also google voice support is good sometimes lagging no major issues found on this tv just go for it good product very nice productsave money,positive
B01M4GGIVU,the signal is too unstable once connect you need a bit of adjustment by unplugging or moving the wire to get a proper signal but does the job go for this if you want to experiment with hdmi as i wasn t sure it would work for me or not otherwise go for a good quality breaded cable good product the cable did not come in a box there is no box if this was to be shipped without any packaging or branding same should have been mentioned when we pay for hi quality products we expect a certain quality i still have no idea if this is a hi speed 4k cable or not bought to connect my cp monitor cctv to mi android tv ok quality at this price i give it a 5 on 5 reasons as below same day delivery within 4 5 hours the delivery person was good robust built quality it is working excellent i m using for lapptop to big screen tv connectivity and could see the undistorted picture and sound nicely doing its work a few words of cons feels a little hard to adjust and bend as per requirement but this may not be a serious concern,positive
B08B42LWKN,this oneplus tv is great if you want a affordable and middle range features tv i got it in the offer and it was totally worth it sound is awesome 100 satisfied with the quality of sound dolby audio 20w speakers are really great for sure affordable tv size and slim it is slim and looks stylish very light weight and handy to install easy to install and mount to wall tye software installation and set up is very easy and anyone can do it at home it gets integrated with mobile apps wifi networks very quickly and easily the overall sign up process and app installations are quick and automatic it supports all the smart features like netflix prime and youtube it is easily installable and sign in to start using quickly it is also easy to scan the setup box channels and start viewing them picture quality is 776p it s average and not very clear but it is worth the price range i ll not complaint as the cost of tv is very affordable and this quality is justified bluetooth and wifi connection can disconnect sometimes and cause some issues i encountered this disconnect issue and had to reset complete device and do the complete sign up again rest all is very good and loved this product i feel it was worth ordering if you are looking something is medium range and only need it for your old parents and don t have extensive smart use then 100 go for this if you want to use a lot of smart features and ott platforms and watch movies and sports then go for better version with full hd and 4k quality this tv will not give good experience for sports due to less picture quality but it s very good for daily family shows and tv channels one last thing i want to express and i m ver disappointed about is this i got my order delivered on friday and i scheduled my installation for saturday but nobody turned up that day and i had to reschedule it for tuesday morning and even today nobody turned up i got a call from amazon to reschedule it for tuesday evening and still this is very very bad and irresponsible service by oneplus and amazon i m very disappointed with the service and highly criticize this behavior a company should always take care of its customer satisfaction and you have failed in doing this what do you guys expect us to do wait for 5 to 6 days to get my tv installed even when it s been delivered and wait for you guys to come after so many days even when i m having my smart tv delivered to my home i have to wait and not enjoy it because you guys have not done your job properly at least keep some decency and respect the customers who are paying a big amount and ordering a big item from your company you should take care that the money i spent has been worth it and not facing any issues highly disappointed with this behavior and service good product connectivity is faster but performance is little bit slower the biggest problem i face is it don t have a aux cable so i m not able to connect my sound bar the hdmi port is useless it won t work i connect it via bluetooth but the problem is that it won t connect automatically everytime i on the tv i need to connect it manually it s a basic feature which is not provided in this tv then another drawback is that it was fast at the beginning now it s been 4 months and it s super laggy even after the update its just the same yeaa but in this price range the picture quality is outstanding that s all good quality in picture and volume is little bit low other than that product is nice i m happy with this after a few days the tv will perform slowly and the remote is very very sentence thank you amazon and oneplus sound is good2 easy installation3 very slim and less weight4 voice recognition is good likebudget friendlydislikewifi connectivity range is poor many times gets disconnected color depth not that good,positive
B094JNXNPV,the product seems and works good but it s not a fast charging cable as it has to be and when all the three ports are connected its more slower i m charging only good is single cable all three ports are there so its a ok product only if yiu are looking for fast charging then i would say think twice before you buyi have been using foe a while now this is for sure not a fast charging cable and in this tge lightning charger is not working properly every now and then i have to check its it charging my iphone and i had to unplug and reply for charging its getting disconnected i don t understand how so this cable is no ok i used this type c most commonly depending on my devices power wats and also etc nice charger charging is bit slow when u connect multiple devices only charging purpose so nice colour cheap and best the cable looks decent with charging but not fit for me as it does not support apple car play,positive
B09W5XR9RT,fast charging cable seems to be of good quality not used much as i keep it as backup in my car it s good sturdy durable it supports fast charging only thing is it s a little expensive i am writing this review after 10 days usage of this product and i found it very durable and sturdy it is also good for travelling where you have to keep it in the bags without any kind of box i would recommend it to all best wire type c to lighting connector go buy worth of money i am happy with product quality is good,positive
B077Z65HSD,one amazing cable for 300 bucks ok with charging looks very sturdy and durable fast charging upto 25watts 2m in length and really durable bought it like the 4th time passed down my older cables to family members all still in working state i bought it in 2019 and it almost last three years post heavy usage very good quality good quality usb c charging cable that enables fast charging for samsung m21 as well as m33 5g 24 w seeking phones 2 metre cable length helpful in keeping phone on desk while charging adaptor plugged into electric outlet similar 2 m cable costs 3x or 4x in retail market this is best price wanted this as my portable battery has usb slot and ipad and kindle reader have usb c ports charges very fast very good overall,positive
B00NH11PEY,sufficient length good alternative to generic cables strong cable the cable ends are nearly like rubber gold coated cable is also of high thickness why i bought this i have dvr rack for dvr which is far above the reach limit hence i need a mouse to be connected to the usb port of the dvr which is in the rack above reachany alternatives wireless mouse didn t work well with my particular dvr had lots of lag hence i had to resort to a usb port extender with ample lengthresult very sturdy cable able to connect to my dvr and connection is stable amazon basics is very reliable this cable is good for any device that needs extension over usb 2 the build quality is good cable material is soft so it will not break connectors are gold plated and will not rust this cable will not give usb 3 0 speeds even if you connect it to a usb 3 any usb 3 0 if used will behave as usb 2 0type adirection female to malefunction extension of length of usbbuilt average not cloth fibre braiderlength as mentionedworks for all connections yes including pc printer console pen drive etc product is as per description good as expected,positive
B09CMM3VGK,the cable build quality is good for normal charging its great cable but doesn t support quick charging works for charging but other applications are hit or miss example my external keyboard doesn t work with it best quality and length of wire was qute good and durability also good the cable is awesome and no charging issue till now because it is a braided cable chance of it damage are very less i like the product using this cable from past 40 days to charge lg g7thinq and samsung s21fe seems durable but there is a problem with the design that the pin is not long enough base of the pin is too thick that i couldn t insert it into my phone s charging port without removing the case over all quality bht achhi hai bs jo braided material use hua hai wo nylon nhi hai cotton type ka hai lekin 99 me 1 5m cable k hisaab se bht achhi hai majboot hai or charging bhi thik hai,positive
B08QSC1XY8,not charging as fast as i d have expected maybe something wrong with my unit the cable overall is actually pretty decent the material is great it doesn t bend out of shape very easily and looks and feels premium the length is definitely a plus a sturdy cable for mobile charging it s been 1 month that i am using this charging cable works very well with s20 fe 5g thumbs up braided cable is sturdy and built well long cable adds extra reach and is tangle free the extra length helps a lot good product,positive
B008FWZGSG,received in good condition and is working properly this price cabil not good and also short i am using from 2 months and charging the phone in good way and it s really value for money i recommend this cable cable is perfect for 3a charging devices support super fast charging and can be used in vehicle chargers and adapters sturdy and durable for daily use best cable i have ever used by amazon worth it good quality but over priced,positive
B0B4HJNPV4,it s a good data cable and i recommend it to purchase the only issue was the metal pin is not fixed firmly so it has become loose otherwise no issue must purchase cable which is sturdy it s not a fast charging cable but the three outlets does the job good sturdy micro usb cable with good charging speeds best for this price good one,neutral
B08Y1SJVV5,it s a good product very good item strong and useful usb cablevalue for moneythanks to amazon and producer sturdy but does not support 33w charging,neutral
B07XLCFSSN,good budget mfi certified lightly cable for this price update usage review after 3 to 5 months better than the original one in matter of robustness and durability better in prospect of charging it is far better in durability from the original apple wire do not think more you can buy blindly worth to buy and it is mfi certified so you ios device not damaged but small negative point is packaging quality of the product the charger is a great carry on accessory while travelling without risking the original charger price is also very affordable and charging speed is very good with good adaptor or power bank good product can recommend all only thing i see as issue is the material the cable threads peels off when stick to a velcro materials other wise good product reliable and worth it the cable shipped in box made by apple felt less sturdy and reliable after using one or two times and felt it would break more quickly at the lighting port and had to order amazon basics cable which is miles better and apple mifi certified,positive
B09RZS1NQT,it does the job really well no complaints regarding the charging power at a price of rs it is worth every buck although this cable is a bit shorter than the original one but the original oneplus cable is around rs so there is a huge price difference and it does the same job as the original one useful for c type charging but not suitable with all adapters or usb points serves the purpose sturdily built charged my samsung galaxy m51 quicker than the original cable hope it stays the same going ahead liked the charging speed disliked the length on ipads this is awesome but it s is not 6 foot long so this the only point to think otherwise it is the best cable everything is good including connectivity and stuff im using this for my car this product is nice and worth the amount i recommend it to anyone who are looking for this kind of cable,positive
B0B3MMYHYW,i am posting this after a few weeks of using the product ott only no cable dish operator average daily usage 6 8 hours the tv is a great value for money product installation the installation was simple and amazon assisted installation was smooth timely and hassle free picture the picture quality is not great when compared with the smoothness of a sony lg and samsung with these kind of specs movies and especially hi res tv series experience was somewhat diluted as most of the times the output while in hi res wouldn t look like a movie quality which we are used to of watching in the likes of sony samsung lg etc however with time you get used to it and only realize the difference when you see the same movie at someone else s better tv sound sound output is decent you wouldn t need additional support to enhance the volume as such it s exactly like amazon s remote os same as any smart android tv works smoothly without much lags or hiccups switching apps from one to another takes a a couple of seconds more than sony but unless you have used to of those performances standalone and as your first smart tv you wouldn t find any reasons to not like the quality and it would like hi res from the beginning it is a great value for money product without a doubt if you are considering this as an alternative or second tv after owning the better ones in the past you will have a hard time adjusting with it picture quality is good for this price didn t faced any lag on ui and browsing other apps only negative will be audio definitely need a sound bar if u are a frequent movie watcher overall worth for money u spend but the installation process is just awful amazon claiming that a trained professional will visit for installation but neither they are trained nor professionals just read the installation manuals and installed the wall mount which took 4hours for them to buy the wall mount after charging money no demo given on tv as they have no idea about the product these things making to think twice or thrice to buy a tv through online screen looks amazing but problem is with processor i believe if 4k content is getting streamed on device then we can observe the green screen flickers not so often but problem exists even remote control is not good as it take at least 2 sec to react for the user action reason why i believe processor is bad because i do 4k gaming using ps5 and never encountered problem with the screen if you buy tv in a small town shop it will be delivered and installed immediately within couple of hours when you want to buy a tv from amazon you need to wait for it to be delivered for couple of days and it is understandable the problem is with the installation they take so much time to install that you end up regretting buying the product it s like you are hungry and food is in front of you but you can t eat so i ordered my tv on monday it got delivered on friday and it will be installed on monday because of weekend where as there is no concept of weekend in small towns if we had the technician details we could reach out s get it installed but that also will be shared 4 hours before regarding product it s good quality and very good for a average user heavy duty like games and continuous usage on some store will be challenging this tv gives good results within the budget should definitely buy if the budget is 30k but most important point like to mention is after sales service and also the installation part 1 the installation guy didn t arrive at very first day that was scheduled even after rescheduling he didn t came for installation purpose so strictly be aware of this point 2 the tv i got in offer with 3k discount on icici card but although the product came out defective it had dead pixel on the display which is very bad after period of time 3 even after the fault was from seller as it was defective piece i didn t got the replacement for the product and it s totally unfair deal by amazon and the seller too final verdict is the tv quality and feature are good but the service from seller and amazon that is got was very poor inspite i was prime member the seller dawntech electronics private limited gives very poor service and feel bad that in such cases amazon will not help you thankyou also to be added tv installation services with product while delivering and unboxing no need to other sub vendor to getting installation and demo also dependency on third party involvement should be less bad experience with tv installation stuff pls look into this picture quality good sound quality not upto my 3xpectations not able to find the real dolby stereo effect remote not upto the mark 3 for both sound and remote quality good quality picture but it hangs on home screen,positive
B09C6HWG18,same type is available in half prize other make on amazon cable is good and well built it supports all sort of charging protocols but samsung galaxy s8 ultra seems to have some issues it falls back to slower charging after a second or two of ultra fast charging when plugged in it works fine with other devices just fine quality of yhe cable is good my cable is not working after 8 months duracell team is very responsive they replaced the item immediately service is good but only one problem is thickness of the pin must be improved the product is upto my expectations worth the price braiding is really good i may not have the need to buy another cable again worth buying this cable very durable its very tough material and very much durable too super fast charging long lasting due to sturdiness strong build quality absolute value for money product plus 2yrs warranty sometime bit difficult to fold the cable due to its sturdy build but its ok looking at its edge just go for it very sturdy but over priced,positive
B00NH11KIK,using it and satisfactory working good also not so expensive using this for an audio transition from yamaha mgxu20 sound mixer to the laptop for live purpose excellent quality bought it before one and a half month satisfied good quality and cheap price great for the price works with my usb mic fantastically well just i find the usb b side is a bit loose when compared to my original oem cables i have ordered several pairs but all are same at least for my mic but it s not too loose to be called unusable works with my casio ct x700 well,positive
